#partition assignment criteria: Assign read to the parition(s) that exceeds the 0.5 proportion in the candidate (outlier) set (first_flag=False).
#read	db_seqs_in_winning_partitions	partition_num(winner)
OTU_97.255	CP003040.625894.627428;LN907765.1.1501;FNWC01000005.152430.153940;AJ270480.1.1508;MJHW01000006.25639.27181;FP929050.3523936.3525456;EU728761.1.1478;AJ270478.1.1488;AB661434.1.1493;HZ486327.1.1480;AJ270474.1.1508;FM954976.1.1379;EU728765.1.1490;FR733672.1.1521;MJHW01000010.137401.138943;CYYR01000011.927.2431;LG086232.1.1497;EU728794.1.1457;JX629262.1.1454;AJWY01001902.613.2139;AJ312385.1.1482;CP003040.25465.26999;CP003040.1035384.1036918;DQ382351.1.1485;HZ486325.1.1497;AY804150.1.1497;MJHW01000015.411.1953;AB661435.1.1494;CYXV01000011.416.1929;AY804149.1.1497;MJHW01000011.2914.4456;CP003040.3095887.3097421;FNWC01000007.2759670.2761180;AB661436.1.1494;BABG01001111.245.1757;AY305310.1.1456;GU233441.1.1371;L34421.1.1481;AJ312386.1.1485;AJ270473.1.1454;HM007565.1.1329;MJHW01000008.255583.257125;LT598553.1.1494;AJ270479.1.1487;MJHW01000007.2914.4456;CVRR01000056.45.1566;AJ270482.1.1485;CYZJ01000002.353627.355138	2
OTU_97.25523	ADLQ01000114.174.1692;LG085311.10.1520;ADLR01000157.173.1691;BAID02000318.100.1610;AWSU01000084.23.1541;ACWK01000143.517.2035;FIZZ01000025.174.1684;CYZY01000014.78043.79553;M59112.1.1478;HZ485404.10.1520	77
OTU_97.25530	BABD01001073.183.1673;LQ500123.51.1533;EU728783.1.1433;BAAY01001326.446.1936;BAAX01000131.813.2303;JN713314.1.1504;X85022.1.1499;AJ413954.1.1462;BAAY01002722.335.1825;BABG01000480.1321.2811;BABG01000051.2348.3838;BAAY01000303.996.2486;BAAX01000205.681.2171;HQ457025.1.1483;LQ500116.1.1474;BAAY01001463.1184.2674;LQ500131.1.1474;BAAV01000571.2640.4130;CYGL01005916.57.1552;BABG01001611.30.1520;BABA01001765.248.1738;BAAU01000686.2038.3530;LQ500117.1.1474;BAAX01000694.431.1921;BAAX01000042.422.1912;BABA01001556.422.1912	92
OTU_97.2555	AB238598.1.1453;AP012044.1260691.1262224;LF134422.9.1518;AP012044.1864519.1866052;LG104800.9.1518;ASTC01000037.211.1727;LF652028.9.1518;AP012044.420887.422420;HZ486081.9.1518	37
OTU_97.25593	LG085297.7.1519;FP929061.44196.45716;JF412658.1.1434;JYFK01000107.53.1565;CYXY01000021.54922.56434;LF136122.10.1522;LV535609.10.1522;CP012098.1923901.1925441;BABG01000037.405.1917;CZAU01000010.430.1942;CP012098.2252006.2253546;FR749932.1.1616;HZ485590.1.1509;CP012098.1469166.1470706;FR749933.1.1618;CYXT01000032.32257.33769;CYYH01000005.2109.3621;ABGC03000041.222.1742;HZ485390.7.1519;LF134090.10.1522	68
OTU_97.25607	EU266549.1.1452;FMUV01000065.209.1620;LARF01000079.1.1498;LARF01000076.2386.3883	110
OTU_97.25626	CP003274.2181216.2182629;AY643083.1.1446;AJWZ01008598.7.1523;AJ518874.1.1465;EU728719.1.1444;LARG01000025.1.1402;CP003274.119147.120561;AB554230.1.1487;AY643084.1.1446	55
OTU_97.25633	BABD01001073.183.1673;LQ500123.51.1533;EU728783.1.1433;BAAY01001326.446.1936;BAAX01000131.813.2303;JN713314.1.1504;X85022.1.1499;AJ413954.1.1462;BAAY01002722.335.1825;BABG01000480.1321.2811;BABG01000051.2348.3838;BAAY01000303.996.2486;BAAX01000205.681.2171;HQ457025.1.1483;LQ500116.1.1474;BAAY01001463.1184.2674;LQ500131.1.1474;BAAV01000571.2640.4130;CYGL01005916.57.1552;BABG01001611.30.1520;BABA01001765.248.1738;BAAU01000686.2038.3530;LQ500117.1.1474;BAAX01000694.431.1921;BAAX01000042.422.1912;BABA01001556.422.1912	92
OTU_97.25649	JQ607568.1.1411;AB117561.1.1493;AB238924.1.1486;CP000140.3253636.3255132;JNHQ01000190.1.1357;ACUB01000068.1.1400;AB238927.1.1486;AB238925.1.1486;CP000140.2872534.2874028;LC033797.1.1486;AB238926.1.1486;EU136681.1.1911;LARL01000150.1.1396;JQ606916.1.1417;JNHQ01000184.8.1440;CDRH01001199.128.1633;BABA01001649.892.2396;AB238923.1.1486;KP944197.1.1431;JQ607238.1.1426;JQ607108.1.1412;EU728708.1.1478;CP000140.3411907.3413403;JQ606931.1.1418;AB238922.1.1488;JQ607084.1.1412;M86695.1.1539;CP000140.2138973.2140467;KR364782.1.1484;CZAR01000037.27480.28953;CP000140.142361.143857;BAAZ01000703.1371.2875;CP000140.416000.417494;CP000140.4787729.4789225	28
OTU_97.257	ABVO01000045.3575.5089;EU136695.1.1991;AKBX01000002.630005.631511;L16485.1.1473;AB050107.1.1425;AB510700.1.1488;AKBX01000006.261100.262606	23
OTU_97.2572	BABD01001073.183.1673;LQ500123.51.1533;EU728783.1.1433;BAAY01001326.446.1936;BAAX01000131.813.2303;JN713314.1.1504;X85022.1.1499;AJ413954.1.1462;BAAY01002722.335.1825;BABG01000480.1321.2811;BABG01000051.2348.3838;BAAY01000303.996.2486;BAAX01000205.681.2171;HQ457025.1.1483;LQ500116.1.1474;BAAY01001463.1184.2674;LQ500131.1.1474;BAAV01000571.2640.4130;CYGL01005916.57.1552;BABG01001611.30.1520;BABA01001765.248.1738;BAAU01000686.2038.3530;LQ500117.1.1474;BAAX01000694.431.1921;BAAX01000042.422.1912;BABA01001556.422.1912	92
OTU_97.25724	CP015409.1960463.1961978;CP001071.989916.991420;CP001071.320473.321977;LTZM01000016.4044.5543;AY271254.1.1433;CP001071.1459761.1461265	101
OTU_97.25726	AB222700.1.1488;CS600342.5.1468;KX025135.1.1430;X83952.1.1395;KP944115.1.1429;GU968166.1.1492;HZ485100.10.1518;AGXU01000010.481004.482520;EU136682.1.1435;HZ485115.10.1518;KX025134.1.1442;AB222699.1.1485;L16484.1.1468;AB050108.1.1455;AGXW01000010.57027.58543;JQ606876.1.1403;KP944116.1.1434;AY652736.1.1451;JQ606875.1.1425;AGXT01000021.476267.477784;KX025133.1.1417;AGXW01000006.688.2204;AB510705.1.1459;JX006475.1.1409	15
OTU_97.25756	AY162469.1.1524;JN713211.1.1560;AY134907.1.1554;ACIM02000001.1245177.1246733;ACIM02000001.828416.829972;GU401492.1.1493;ACIM02000001.564708.566263;AB626632.1.1530;AF287787.1.1541	61
OTU_97.25786	AJWZ01002193.94.1618;EU728752.1.1491;ACBX02000025.1.1217;AB064923.1.1494;AB244772.1.1493;EU728740.1.1484;AB649279.1.1493;CBXK010002068.363.1874;LT722678.1.1454;AB244771.1.1493;AB244770.1.1491;ACBX02000017.22857.24376;AB244773.1.1493;ACBX02000014.1230.2749;EU728712.1.1486;EU728757.1.1485	27
OTU_97.25876	BABD01001073.183.1673;LQ500123.51.1533;EU728783.1.1433;BAAY01001326.446.1936;BAAX01000131.813.2303;JN713314.1.1504;X85022.1.1499;AJ413954.1.1462;BAAY01002722.335.1825;BABG01000480.1321.2811;BABG01000051.2348.3838;BAAY01000303.996.2486;BAAX01000205.681.2171;HQ457025.1.1483;LQ500116.1.1474;BAAY01001463.1184.2674;LQ500131.1.1474;BAAV01000571.2640.4130;CYGL01005916.57.1552;BABG01001611.30.1520;BABA01001765.248.1738;BAAU01000686.2038.3530;LQ500117.1.1474;BAAX01000694.431.1921;BAAX01000042.422.1912;BABA01001556.422.1912	92
OTU_97.25935	JQ607915.1.1414;AB531489.1.1488;LUYU01000009.3392.4896;CZAF01000001.556013.557519;JX048342.1.1227;JQ607917.1.1422;CZAO01000004.122192.123698;LG103725.8.1386;AB363973.1.1415;JQ606974.1.1418;AB021157.1.1508;JQ607949.1.1412;FJ753769.1.1397;AB510711.1.1477;JQ606993.1.1417;JQ607438.1.1419;BAAU01000536.1575.3081;EU136680.1.2019;ASSO01000012.330141.331655;AB215082.1.1485;JNHN01000179.537048.538433;AB547646.1.1488;BAJS01000049.3577.5109;CZAC01000044.999.2505;HW066511.1.1490;BAKJ01000105.14.1519;CYYO01000004.82756.84262;JN873344.1.1474;CYZB01000007.3612.5118;JQ606994.1.1421;JQ607435.1.1425;LF135379.8.1386;LF650953.8.1386;JQ607986.1.1408;JX048103.1.1420;JQ607012.1.1416;JX006272.1.1419;CZAD01000019.36461.37967;JX048443.1.1415;KP944146.1.1427;AB547643.1.1486;JX048114.1.1422;BABD01000482.1904.3411;HZ486684.1.1341;JX048092.1.1415;CYZF01000001.433278.434784;CELP01000805.3695.5201;LV534866.8.1386;LF133347.8.1386;AB050110.1.1425;JQ607304.1.1423	16
OTU_97.25964	BABD01001073.183.1673;LQ500123.51.1533;EU728783.1.1433;BAAY01001326.446.1936;BAAX01000131.813.2303;JN713314.1.1504;X85022.1.1499;AJ413954.1.1462;BAAY01002722.335.1825;BABG01000480.1321.2811;BABG01000051.2348.3838;BAAY01000303.996.2486;BAAX01000205.681.2171;HQ457025.1.1483;LQ500116.1.1474;BAAY01001463.1184.2674;LQ500131.1.1474;BAAV01000571.2640.4130;CYGL01005916.57.1552;BABG01001611.30.1520;BABA01001765.248.1738;BAAU01000686.2038.3530;LQ500117.1.1474;BAAX01000694.431.1921;BAAX01000042.422.1912;BABA01001556.422.1912	92
OTU_97.25966	AY162469.1.1524;JN713211.1.1560;AY134907.1.1554;ACIM02000001.1245177.1246733;ACIM02000001.828416.829972;GU401492.1.1493;ACIM02000001.564708.566263;AB626632.1.1530;AF287787.1.1541	61
OTU_97.25974	KF698192.1.1425;AY699283.1.1524;DQ497994.1.1431;L34420.1.1479;BAAZ01003957.403.1825;BABG01001469.752.2264;CP001104.413153.414672;KF698021.1.1424;CP001104.697435.698953;BABG01000033.258.1769;CP001104.872242.873760;BAAV01003125.60.1537;GU269544.1.1452;LF134149.1.1452;LF136181.1.1452;CP001104.15561.17079;CP001104.2029863.2031381	5
OTU_97.25986	GEEG01002153.1.1395;AGZQ01000017.129.1643;AGZP01000036.3707.5225;AGZQ01000033.8984.10498;ABYH01000014.137.1655;FTLH01000001.1658518.1660028;AB261128.1.1492;AJPU01000034.127207.128725;AB238929.1.1492;AB238928.1.1492;AJPU01000037.18517.20035;EU136685.1.2023	29
OTU_97.25987	HF545616.1595630.1597136;HF545616.164905.166411;HF545617.337862.339368;HF545616.962351.963857	115
OTU_97.26007	AB547647.1.1481;AB370251.1.1484;ADLE01000017.1593.3112	40
OTU_97.26019	BABD01001073.183.1673;LQ500123.51.1533;EU728783.1.1433;BAAY01001326.446.1936;BAAX01000131.813.2303;JN713314.1.1504;X85022.1.1499;AJ413954.1.1462;BAAY01002722.335.1825;BABG01000480.1321.2811;BABG01000051.2348.3838;BAAY01000303.996.2486;BAAX01000205.681.2171;HQ457025.1.1483;LQ500116.1.1474;BAAY01001463.1184.2674;LQ500131.1.1474;BAAV01000571.2640.4130;CYGL01005916.57.1552;BABG01001611.30.1520;BABA01001765.248.1738;BAAU01000686.2038.3530;LQ500117.1.1474;BAAX01000694.431.1921;BAAX01000042.422.1912;BABA01001556.422.1912	92
OTU_97.2603	AB547647.1.1481;AB370251.1.1484;ADLE01000017.1593.3112	40
OTU_97.26041	JQ607243.1.1431;CP000139.346743.348252;AJ867043.1.1457;AB510712.1.1489;EU136687.1.1985;ASSN01000031.1609.3124;JQ607305.1.1446;JX048287.1.1404;JQ607114.1.1418;JQ607257.1.1414;JX006390.1.1422;JX006397.1.1422;AJ867044.1.1475;JQ606944.1.1418;JQ607246.1.1418;M58762.1.1533;CP000139.647842.649351;LG103726.1.1507;JQ607451.1.1421;LG085034.1.1507;JX048110.1.1435;AGXZ01000020.342567.344082;CP000139.2183533.2185042;JX006258.1.1422;CP000139.2587720.2589229;JQ606920.1.1421;CP000139.2095441.2096950;JQ607294.1.1425;CS600343.12.1518;JX048138.1.1422;AJ867050.1.1476;JQ607429.1.1424;LF135380.1.1507;ADKO01000087.185.1693;HZ485127.1.1507;KP944149.1.1433;CP000139.4743140.4744649;AJ867042.1.1475;CP000139.4430477.4431986;JQ607149.1.1411;JQ607625.1.1415;AB050111.1.1397;JQ607271.1.1416	25
OTU_97.26042	CP012937.5517779.5519304;L16489.1.1475;JQ607686.1.1411;AB547640.1.1475;AB510710.1.1461;JQ607066.1.1428;JQ608205.1.1410;AE015928.4983424.4984906;EU136679.1.1995;JQ607067.1.1417;JQ606910.1.1424;LN907744.1.1483;AE015928.2340709.2342191;AGDG01000041.493.2001;KP944119.1.1432;M58763.1.1482;JQ607043.1.1414;AE015928.3034714.3036195;JQ607032.1.1412;AY319395.1.1449;GQ496623.1.1463;KP944123.1.1436;EU887841.1.1494;JQ607093.1.1420;JQ607127.1.1359;JX006297.1.1423;GQ496624.1.1458;JX006625.1.1415;JQ607692.1.1411;JQ607099.1.1411;JQ606939.1.1420;JX048567.1.1424;JQ606892.1.1428;JQ608216.1.1420;JX006697.1.1410;JQ608257.1.1414;AB050109.1.1426;JQ607128.1.1418;JX048503.1.1409;LC033799.1.1504;JQ608100.1.1418;JQ608299.1.1419;CVOZ01000063.228971.230480;JQ606972.1.1418;JQ606983.1.1424;HZ485108.9.1517;CZAE01000003.99809.101321;JQ607143.1.1401;JQ607082.1.1425;JX048256.1.1388;JQ606959.1.1417;JQ607157.1.1414;CZBI01000005.3650.5158;AE015928.3328965.3330446;JQ607034.1.1424;JQ607060.1.1412;JQ606976.1.1418;CXSE01001446.1371.2879;JQ606901.1.1421	17
OTU_97.26082	CP012937.5517779.5519304;L16489.1.1475;JQ607686.1.1411;AB547640.1.1475;AB510710.1.1461;JQ607066.1.1428;JQ608205.1.1410;AE015928.4983424.4984906;EU136679.1.1995;JQ607067.1.1417;JQ606910.1.1424;LN907744.1.1483;AE015928.2340709.2342191;AGDG01000041.493.2001;KP944119.1.1432;M58763.1.1482;JQ607043.1.1414;AE015928.3034714.3036195;JQ607032.1.1412;AY319395.1.1449;GQ496623.1.1463;KP944123.1.1436;EU887841.1.1494;JQ607093.1.1420;JQ607127.1.1359;JX006297.1.1423;GQ496624.1.1458;JX006625.1.1415;JQ607692.1.1411;JQ607099.1.1411;JQ606939.1.1420;JX048567.1.1424;JQ606892.1.1428;JQ608216.1.1420;JX006697.1.1410;JQ608257.1.1414;AB050109.1.1426;JQ607128.1.1418;JX048503.1.1409;LC033799.1.1504;JQ608100.1.1418;JQ608299.1.1419;CVOZ01000063.228971.230480;JQ606972.1.1418;JQ606983.1.1424;HZ485108.9.1517;CZAE01000003.99809.101321;JQ607143.1.1401;JQ607082.1.1425;JX048256.1.1388;JQ606959.1.1417;JQ607157.1.1414;CZBI01000005.3650.5158;AE015928.3328965.3330446;JQ607034.1.1424;JQ607060.1.1412;JQ606976.1.1418;CXSE01001446.1371.2879;JQ606901.1.1421	17
OTU_97.26104	JQ607243.1.1431;CP000139.346743.348252;AJ867043.1.1457;AB510712.1.1489;EU136687.1.1985;ASSN01000031.1609.3124;JQ607305.1.1446;JX048287.1.1404;JQ607114.1.1418;JQ607257.1.1414;JX006390.1.1422;JX006397.1.1422;AJ867044.1.1475;JQ606944.1.1418;JQ607246.1.1418;M58762.1.1533;CP000139.647842.649351;LG103726.1.1507;JQ607451.1.1421;LG085034.1.1507;JX048110.1.1435;AGXZ01000020.342567.344082;CP000139.2183533.2185042;JX006258.1.1422;CP000139.2587720.2589229;JQ606920.1.1421;CP000139.2095441.2096950;JQ607294.1.1425;CS600343.12.1518;JX048138.1.1422;AJ867050.1.1476;JQ607429.1.1424;LF135380.1.1507;ADKO01000087.185.1693;HZ485127.1.1507;KP944149.1.1433;CP000139.4743140.4744649;AJ867042.1.1475;CP000139.4430477.4431986;JQ607149.1.1411;JQ607625.1.1415;AB050111.1.1397;JQ607271.1.1416	25
OTU_97.2612	JX006288.1.1424;HZ485132.1.1509;BABG01004725.10.1478;ADMP01000058.91.1599;JQ607757.1.1408;JQ607091.1.1413;AGXT01000041.79243.80759;JQ608316.1.1421;JQ607051.1.1422;JQ607540.1.1433;JQ607946.1.1422;AB510713.1.1465;LT622246.247875.249393;KR364742.1.1467;DQ057457.1.1451	19
OTU_97.26200	JX101687.1.1487;EU980608.1.1520;CYZK01000040.552.2062;FR749920.1.1525;CS600346.9.1480;AAVP02000002.246738.248249;AF357572.1.1411;L34619.1.1479;AF445285.1.1525;AB196512.1.1455;LF651698.2.1512;AJ315979.1.1406;ACTM01000065.528.2046;LDAQ01000152.353.1865;LG085333.2.1512;FR749945.1.1521;FR749935.1.1522;AB600998.1.1493;HZ485426.2.1512;BAAU01002801.360.1869;ADBG01000142.461.1973;LF651214.3.1514;AAVP02000040.351.1861;CP015405.3598712.3600253;FQLT01000003.449641.451153;HZ485583.1.1509;CP015405.196247.197788;CZBS01000001.376463.377973;HZ486360.2.1513;AB233029.1.1493;HZ486353.2.1514;EU728703.1.1464;AAXA02000015.452491.454009;AB125231.1.1455;FR749937.1.1523;M59109.1.1537;L76604.1.1418;HZ485192.1.1493;DQ681227.1.1525;AAVP02000029.271.1782;ABOU02000049.4536.6056;LG086260.2.1514;BAAX01000752.408.1920;L76602.1.1402;LG085099.1.1493;LF651689.1.1511;LT598587.1.1497;AB571656.1.1493;AAVP02000025.9720.11231;FR749919.1.1525;BBZR01000066.208.1712;LF134083.1.1511;CP015405.4239136.4240677;AB818947.1.1494;HZ485589.1.1509;CP015405.2331703.2333244;FJ611794.1.1404;LG085496.1.1509;FR749936.1.1524;AZJE01000001.34797.36315;LT598580.1.1496;HZ485379.2.1514;EU377662.1.1346;FR749946.1.1524;ADLU01000111.254.1772;AZJE01000010.133433.134953;FAVJ01000004.312430.313940;LF135440.1.1493;LF134092.2.1512;BBDW01000030.73.1604;BABA01004003.155.1665;FR749917.1.1525;LG086267.2.1513;FR749918.1.1525;ACTN01000028.390.1908;HZ485186.1.1493;LG104461.1.1511;AZJE01000019.81382.82902;CVTZ01000007.99269.100776;AZJE01000037.2302.3820;HZ485517.10.1520;LG104470.2.1512;LF133408.1.1493;D14137.1.1385;CP015405.210899.212440;FR749938.1.1523;CZAC01000011.116399.117910;AAXA02000015.760903.762421;ACWP01000059.374.1892;LG085424.10.1520;CYZU01000015.70.1582;FQLT01000002.339798.341310;LT631508.1.1496;AZJE01000017.49865.51385;CVTZ01000011.472188.473700;AAXA02000016.197379.198897;GU985201.1.1526;LG085490.1.1509;AAXA02000014.354465.355983;EF031542.1.1453;CYZO01000012.74868.76378;KR364747.1.1521;AAXA02000006.102304.103822;CZAX01000013.119867.121377;FP929055.159.1677;ABVR01000038.1362.2880;CZAC01000092.963.2475;FR749921.1.1525;LF651014.1.1493	4
OTU_97.26257	LG084742.1.1489;CP003058.391435.392923;HZ484835.1.1489;LF135089.1.1489;CP003058.15620.17108;LG103435.1.1489;LV534576.1.1489;AF473835.1.1439;LF133057.1.1489;CP003058.120458.121946	86
OTU_97.26337	ABJL02000007.1225076.1226586;ABJL02000006.58.1568;LTDF01000031.344.1854;ABJL02000008.3336138.3337648;CP012801.2258604.2260119;AB214329.1.1484;BABG01002699.21.1524;AJ583246.1.1439;LT223636.1.1486;AJ583248.1.1428;ABJL02000008.1460783.1462293;EU136691.1.1995;CP012801.1646789.1648308;AB510698.1.1473;AB214328.1.1484;ACCH01000108.3638.5148;AJ583247.1.1437	34
OTU_97.26349	JX101687.1.1487;EU980608.1.1520;CYZK01000040.552.2062;FR749920.1.1525;CS600346.9.1480;AAVP02000002.246738.248249;AF357572.1.1411;L34619.1.1479;AF445285.1.1525;AB196512.1.1455;LF651698.2.1512;AJ315979.1.1406;ACTM01000065.528.2046;LDAQ01000152.353.1865;LG085333.2.1512;FR749945.1.1521;FR749935.1.1522;AB600998.1.1493;HZ485426.2.1512;BAAU01002801.360.1869;ADBG01000142.461.1973;LF651214.3.1514;AAVP02000040.351.1861;CP015405.3598712.3600253;FQLT01000003.449641.451153;HZ485583.1.1509;CP015405.196247.197788;CZBS01000001.376463.377973;HZ486360.2.1513;AB233029.1.1493;HZ486353.2.1514;EU728703.1.1464;AAXA02000015.452491.454009;AB125231.1.1455;FR749937.1.1523;M59109.1.1537;L76604.1.1418;HZ485192.1.1493;DQ681227.1.1525;AAVP02000029.271.1782;ABOU02000049.4536.6056;LG086260.2.1514;BAAX01000752.408.1920;L76602.1.1402;LG085099.1.1493;LF651689.1.1511;LT598587.1.1497;AB571656.1.1493;AAVP02000025.9720.11231;FR749919.1.1525;BBZR01000066.208.1712;LF134083.1.1511;CP015405.4239136.4240677;AB818947.1.1494;HZ485589.1.1509;CP015405.2331703.2333244;FJ611794.1.1404;LG085496.1.1509;FR749936.1.1524;AZJE01000001.34797.36315;LT598580.1.1496;HZ485379.2.1514;EU377662.1.1346;FR749946.1.1524;ADLU01000111.254.1772;AZJE01000010.133433.134953;FAVJ01000004.312430.313940;LF135440.1.1493;LF134092.2.1512;BBDW01000030.73.1604;BABA01004003.155.1665;FR749917.1.1525;LG086267.2.1513;FR749918.1.1525;ACTN01000028.390.1908;HZ485186.1.1493;LG104461.1.1511;AZJE01000019.81382.82902;CVTZ01000007.99269.100776;AZJE01000037.2302.3820;HZ485517.10.1520;LG104470.2.1512;LF133408.1.1493;D14137.1.1385;CP015405.210899.212440;FR749938.1.1523;CZAC01000011.116399.117910;AAXA02000015.760903.762421;ACWP01000059.374.1892;LG085424.10.1520;CYZU01000015.70.1582;FQLT01000002.339798.341310;LT631508.1.1496;AZJE01000017.49865.51385;CVTZ01000011.472188.473700;AAXA02000016.197379.198897;GU985201.1.1526;LG085490.1.1509;AAXA02000014.354465.355983;EF031542.1.1453;CYZO01000012.74868.76378;KR364747.1.1521;AAXA02000006.102304.103822;CZAX01000013.119867.121377;FP929055.159.1677;ABVR01000038.1362.2880;CZAC01000092.963.2475;FR749921.1.1525;LF651014.1.1493	4
OTU_97.26360	AB861981.1.1489;AB861983.1.1489;AY721625.1.1490	31
OTU_97.26361	CP012937.5517779.5519304;L16489.1.1475;JQ607686.1.1411;AB547640.1.1475;AB510710.1.1461;JQ607066.1.1428;JQ608205.1.1410;AE015928.4983424.4984906;EU136679.1.1995;JQ607067.1.1417;JQ606910.1.1424;LN907744.1.1483;AE015928.2340709.2342191;AGDG01000041.493.2001;KP944119.1.1432;M58763.1.1482;JQ607043.1.1414;AE015928.3034714.3036195;JQ607032.1.1412;AY319395.1.1449;GQ496623.1.1463;KP944123.1.1436;EU887841.1.1494;JQ607093.1.1420;JQ607127.1.1359;JX006297.1.1423;GQ496624.1.1458;JX006625.1.1415;JQ607692.1.1411;JQ607099.1.1411;JQ606939.1.1420;JX048567.1.1424;JQ606892.1.1428;JQ608216.1.1420;JX006697.1.1410;JQ608257.1.1414;AB050109.1.1426;JQ607128.1.1418;JX048503.1.1409;LC033799.1.1504;JQ608100.1.1418;JQ608299.1.1419;CVOZ01000063.228971.230480;JQ606972.1.1418;JQ606983.1.1424;HZ485108.9.1517;CZAE01000003.99809.101321;JQ607143.1.1401;JQ607082.1.1425;JX048256.1.1388;JQ606959.1.1417;JQ607157.1.1414;CZBI01000005.3650.5158;AE015928.3328965.3330446;JQ607034.1.1424;JQ607060.1.1412;JQ606976.1.1418;CXSE01001446.1371.2879;JQ606901.1.1421	17
OTU_97.26374	JQ607915.1.1414;AB531489.1.1488;LUYU01000009.3392.4896;CZAF01000001.556013.557519;JX048342.1.1227;JQ607917.1.1422;CZAO01000004.122192.123698;LG103725.8.1386;AB363973.1.1415;JQ606974.1.1418;AB021157.1.1508;JQ607949.1.1412;FJ753769.1.1397;AB510711.1.1477;JQ606993.1.1417;JQ607438.1.1419;BAAU01000536.1575.3081;EU136680.1.2019;ASSO01000012.330141.331655;AB215082.1.1485;JNHN01000179.537048.538433;AB547646.1.1488;BAJS01000049.3577.5109;CZAC01000044.999.2505;HW066511.1.1490;BAKJ01000105.14.1519;CYYO01000004.82756.84262;JN873344.1.1474;CYZB01000007.3612.5118;JQ606994.1.1421;JQ607435.1.1425;LF135379.8.1386;LF650953.8.1386;JQ607986.1.1408;JX048103.1.1420;JQ607012.1.1416;JX006272.1.1419;CZAD01000019.36461.37967;JX048443.1.1415;KP944146.1.1427;AB547643.1.1486;JX048114.1.1422;BABD01000482.1904.3411;HZ486684.1.1341;JX048092.1.1415;CYZF01000001.433278.434784;CELP01000805.3695.5201;LV534866.8.1386;LF133347.8.1386;AB050110.1.1425;JQ607304.1.1423	16
OTU_97.26383	BABD01001073.183.1673;LQ500123.51.1533;EU728783.1.1433;BAAY01001326.446.1936;BAAX01000131.813.2303;JN713314.1.1504;X85022.1.1499;AJ413954.1.1462;BAAY01002722.335.1825;BABG01000480.1321.2811;BABG01000051.2348.3838;BAAY01000303.996.2486;BAAX01000205.681.2171;HQ457025.1.1483;LQ500116.1.1474;BAAY01001463.1184.2674;LQ500131.1.1474;BAAV01000571.2640.4130;CYGL01005916.57.1552;BABG01001611.30.1520;BABA01001765.248.1738;BAAU01000686.2038.3530;LQ500117.1.1474;BAAX01000694.431.1921;BAAX01000042.422.1912;BABA01001556.422.1912	92
OTU_97.26411	JQ607915.1.1414;AB531489.1.1488;LUYU01000009.3392.4896;CZAF01000001.556013.557519;JX048342.1.1227;JQ607917.1.1422;CZAO01000004.122192.123698;LG103725.8.1386;AB363973.1.1415;JQ606974.1.1418;AB021157.1.1508;JQ607949.1.1412;FJ753769.1.1397;AB510711.1.1477;JQ606993.1.1417;JQ607438.1.1419;BAAU01000536.1575.3081;EU136680.1.2019;ASSO01000012.330141.331655;AB215082.1.1485;JNHN01000179.537048.538433;AB547646.1.1488;BAJS01000049.3577.5109;CZAC01000044.999.2505;HW066511.1.1490;BAKJ01000105.14.1519;CYYO01000004.82756.84262;JN873344.1.1474;CYZB01000007.3612.5118;JQ606994.1.1421;JQ607435.1.1425;LF135379.8.1386;LF650953.8.1386;JQ607986.1.1408;JX048103.1.1420;JQ607012.1.1416;JX006272.1.1419;CZAD01000019.36461.37967;JX048443.1.1415;KP944146.1.1427;AB547643.1.1486;JX048114.1.1422;BABD01000482.1904.3411;HZ486684.1.1341;JX048092.1.1415;CYZF01000001.433278.434784;CELP01000805.3695.5201;LV534866.8.1386;LF133347.8.1386;AB050110.1.1425;JQ607304.1.1423	16
OTU_97.2644	AY162469.1.1524;JN713211.1.1560;AY134907.1.1554;ACIM02000001.1245177.1246733;ACIM02000001.828416.829972;GU401492.1.1493;ACIM02000001.564708.566263;AB626632.1.1530;AF287787.1.1541	61
OTU_97.26466	EU266549.1.1452;FMUV01000065.209.1620;LARF01000079.1.1498;LARF01000076.2386.3883	110
OTU_97.26507	JQ607568.1.1411;AB117561.1.1493;AB238924.1.1486;CP000140.3253636.3255132;JNHQ01000190.1.1357;ACUB01000068.1.1400;AB238927.1.1486;AB238925.1.1486;CP000140.2872534.2874028;LC033797.1.1486;AB238926.1.1486;EU136681.1.1911;LARL01000150.1.1396;JQ606916.1.1417;JNHQ01000184.8.1440;CDRH01001199.128.1633;BABA01001649.892.2396;AB238923.1.1486;KP944197.1.1431;JQ607238.1.1426;JQ607108.1.1412;EU728708.1.1478;CP000140.3411907.3413403;JQ606931.1.1418;AB238922.1.1488;JQ607084.1.1412;M86695.1.1539;CP000140.2138973.2140467;KR364782.1.1484;CZAR01000037.27480.28953;CP000140.142361.143857;BAAZ01000703.1371.2875;CP000140.416000.417494;CP000140.4787729.4789225	28
OTU_97.26524	GEEG01002153.1.1395;AGZQ01000017.129.1643;AGZP01000036.3707.5225;AGZQ01000033.8984.10498;ABYH01000014.137.1655;FTLH01000001.1658518.1660028;AB261128.1.1492;AJPU01000034.127207.128725;AB238929.1.1492;AB238928.1.1492;AJPU01000037.18517.20035;EU136685.1.2023	29
