#partition assignment criteria: Assign read to the parition(s) that exceeds the 0.5 proportion in the candidate (outlier) set (first_flag=False).
#read	db_seqs_in_winning_partitions	partition_num(winner)	partition_counts	candidate_db_seqs(outliers)	size_of_candidate_db_seqs_set
OTU_97.26374	JQ607915.1.1414;AB531489.1.1488;LUYU01000009.3392.4896;CZAF01000001.556013.557519;JX048342.1.1227;JQ607917.1.1422;CZAO01000004.122192.123698;LG103725.8.1386;AB363973.1.1415;JQ606974.1.1418;AB021157.1.1508;JQ607949.1.1412;FJ753769.1.1397;AB510711.1.1477;JQ606993.1.1417;JQ607438.1.1419;BAAU01000536.1575.3081;EU136680.1.2019;ASSO01000012.330141.331655;AB215082.1.1485;JNHN01000179.537048.538433;AB547646.1.1488;BAJS01000049.3577.5109;CZAC01000044.999.2505;HW066511.1.1490;BAKJ01000105.14.1519;CYYO01000004.82756.84262;JN873344.1.1474;CYZB01000007.3612.5118;JQ606994.1.1421;JQ607435.1.1425;LF135379.8.1386;LF650953.8.1386;JQ607986.1.1408;JX048103.1.1420;JQ607012.1.1416;JX006272.1.1419;CZAD01000019.36461.37967;JX048443.1.1415;KP944146.1.1427;AB547643.1.1486;JX048114.1.1422;BABD01000482.1904.3411;HZ486684.1.1341;JX048092.1.1415;CYZF01000001.433278.434784;CELP01000805.3695.5201;LV534866.8.1386;LF133347.8.1386;AB050110.1.1425;JQ607304.1.1423	16	16:22	CELP01000805.3695.5201;CZAF01000001.556013.557519;CZAC01000044.999.2505;CZAO01000004.122192.123698;CYYO01000004.82756.84262;CYZB01000007.3612.5118;CZAD01000019.36461.37967;EU136680.1.2019;BAAU01000536.1575.3081;CYZF01000001.433278.434784;ASSO01000012.330141.331655;AB050110.1.1425;AB510711.1.1477;JN873344.1.1474;KP944146.1.1427;JQ607012.1.1416;JQ607304.1.1423;JX006272.1.1419;JQ606993.1.1417;JQ607917.1.1422;JQ607438.1.1419;JX048092.1.1415	22
OTU_97.26383	BABD01001073.183.1673;LQ500123.51.1533;EU728783.1.1433;BAAY01001326.446.1936;BAAX01000131.813.2303;JN713314.1.1504;X85022.1.1499;AJ413954.1.1462;BAAY01002722.335.1825;BABG01000480.1321.2811;BABG01000051.2348.3838;BAAY01000303.996.2486;BAAX01000205.681.2171;HQ457025.1.1483;LQ500116.1.1474;BAAY01001463.1184.2674;LQ500131.1.1474;BAAV01000571.2640.4130;CYGL01005916.57.1552;BABG01001611.30.1520;BABA01001765.248.1738;BAAU01000686.2038.3530;LQ500117.1.1474;BAAX01000694.431.1921;BAAX01000042.422.1912;BABA01001556.422.1912	92	94:3;120:1;92:25;118:1;119:1;149:1;517:1	AY169430.1.1474;EU728786.1.1477;DQ057482.1.1450;DQ057481.1.1439;JN713314.1.1504;LQ500116.1.1474;BAAX01000042.422.1912;BABG01000480.1321.2811;BAAY01000303.996.2486;LQ500131.1.1474;BABA01001765.248.1738;BAAX01000205.681.2171;LQ500117.1.1474;X85022.1.1499;BAAY01001326.446.1936;BABD01001073.183.1673;BAAU01000686.2038.3530;BABG01000051.2348.3838;BABG01001611.30.1520;BAAY01001463.1184.2674;BAAX01000694.431.1921;LQ500123.51.1533;BAAX01000131.813.2303;BABA01001556.422.1912;FAUK01000014.218606.220097;AJ413954.1.1462;CYGL01005916.57.1552;BAAV01000571.2640.4130;LN846908.1.1491;HQ457025.1.1483;DQ057467.1.1475;BAAY01002722.335.1825;DQ057466.1.1455	33
OTU_97.2639	NA	NA	29:11;223:1;219:1;220:1;224:1;28:26;230:1;231:1;232:1;233:1;234:1;217:1;235:1;236:1;238:1;240:1;216:1;229:1;218:1;242:1;244:1;226:1;222:1;237:1;241:1;247:1;225:1;243:1;221:1;249:1;245:1;246:1;251:1;248:1;239:1	AGZQ01000033.8984.10498;AGZQ01000017.129.1643;LT223609.1.1490;LT558809.1.2930;AJPU01000034.127207.128725;AJPU01000037.18517.20035;AB238929.1.1492;AB238928.1.1492;AB739697.1.1442;FTLH01000001.1658518.1660028;EU136685.1.2023;ABYH01000014.137.1655;AB261128.1.1492;KX462878.1.1423;CP000140.142361.143857;CP000140.4787729.4789225;ASSQ01000028.98117.99631;ASSQ01000025.293398.294912;EU136681.1.1911;AGZP01000036.3707.5225;AGZO01000011.369833.371347;AGZO01000045.56609.58123;ASSQ01000020.1189752.1191266;AGES01000002.1517833.1519347;AQFV01000011.277632.279146;AQFV01000015.300695.302209;HW066513.1.1490;HQ122961.1.1394;FNVS01000030.3615.5146;AGZO01000005.452.1966;AB574482.1.1489;EU136697.1.2002;FJ799161.1.1470;BAAZ01000703.1371.2875;AB470343.1.1485;CP000140.2138973.2140467;CP000140.2872534.2874028;CP000140.416000.417494;AGES01000014.73256.74770;FJ862827.1.1521;DQ677015.1.1505;DQ676993.1.1505;AB470344.1.1487;AB238922.1.1488;FJ799120.1.1498;CP000140.3411907.3413403;CP000140.3253636.3255132;CZAR01000037.27480.28953;AB238924.1.1486;KR364782.1.1484;AGES01000009.1340374.1341888;LZEK01000004.127788.129330;JN029805.1.1481;AY949860.1.1520;BABA01001649.892.2396;CDRH01001199.128.1633;M86695.1.1539;HQ020488.1.1502;AB547650.1.1476;JNHQ01000184.8.1440;EU728708.1.1478;AB238923.1.1486;ACUB01000068.1.1400;LARL01000150.1.1396;JNHQ01000190.1.1357;AB238927.1.1486;AB238925.1.1486;AB238926.1.1486;FUFV01000048.87.1597;LC033797.1.1486	70
OTU_97.2640	NA	NA	37:8;153:1;154:1;160:1;165:1;155:1;162:1;157:1;161:1;167:1;163:1;164:1	ASTC01000037.211.1727;LF623612.1.1491;HW313948.1.1491;AB702937.1.1496;HW313920.1.1483;AP012044.1864519.1866052;AP012044.1260691.1262224;AP012044.420887.422420;FJ625862.7160.8682;HW798623.1.1493;BAGW01000037.287.1796;LF652028.9.1518;LG104800.9.1518;LF134422.9.1518;LF623590.4.1475;HZ486081.9.1518;HW798611.1.1495;HW798599.4.1475;HW313926.4.1475	19
OTU_97.26411	JQ607915.1.1414;AB531489.1.1488;LUYU01000009.3392.4896;CZAF01000001.556013.557519;JX048342.1.1227;JQ607917.1.1422;CZAO01000004.122192.123698;LG103725.8.1386;AB363973.1.1415;JQ606974.1.1418;AB021157.1.1508;JQ607949.1.1412;FJ753769.1.1397;AB510711.1.1477;JQ606993.1.1417;JQ607438.1.1419;BAAU01000536.1575.3081;EU136680.1.2019;ASSO01000012.330141.331655;AB215082.1.1485;JNHN01000179.537048.538433;AB547646.1.1488;BAJS01000049.3577.5109;CZAC01000044.999.2505;HW066511.1.1490;BAKJ01000105.14.1519;CYYO01000004.82756.84262;JN873344.1.1474;CYZB01000007.3612.5118;JQ606994.1.1421;JQ607435.1.1425;LF135379.8.1386;LF650953.8.1386;JQ607986.1.1408;JX048103.1.1420;JQ607012.1.1416;JX006272.1.1419;CZAD01000019.36461.37967;JX048443.1.1415;KP944146.1.1427;AB547643.1.1486;JX048114.1.1422;BABD01000482.1904.3411;HZ486684.1.1341;JX048092.1.1415;CYZF01000001.433278.434784;CELP01000805.3695.5201;LV534866.8.1386;LF133347.8.1386;AB050110.1.1425;JQ607304.1.1423	16	16:14	CZAD01000019.36461.37967;CELP01000805.3695.5201;CZAF01000001.556013.557519;CZAC01000044.999.2505;CZAO01000004.122192.123698;CYYO01000004.82756.84262;CYZB01000007.3612.5118;CYZF01000001.433278.434784;AB021157.1.1508;EU136680.1.2019;BAAU01000536.1575.3081;ASSO01000012.330141.331655;AB050110.1.1425;AB510711.1.1477	14
OTU_97.26422	NA	NA	40:3;551:1;550:1;552:1;553:1;554:1;555:1	ADLE01000017.1593.3112;AB547647.1.1481;AB370251.1.1484;CP007034.2537143.2538680;CP007034.1591211.1592751;CP007034.2723148.2724685;CP007034.2003593.2005133;CP007034.620467.622007;AB267809.1.1461	9
OTU_97.2644	AY162469.1.1524;JN713211.1.1560;AY134907.1.1554;ACIM02000001.1245177.1246733;ACIM02000001.828416.829972;GU401492.1.1493;ACIM02000001.564708.566263;AB626632.1.1530;AF287787.1.1541	61	61:8;306:1;304:1;305:1;307:1;308:1	ACIM02000001.564708.566263;AB626632.1.1530;ACIM02000001.1245177.1246733;AY162469.1.1524;ACIM02000001.828416.829972;GU401492.1.1493;AF287787.1.1541;JN713211.1.1560;AB626634.1.1465;AF481210.1.1524;AF287786.1.1532;LSDR01000051.85.1641;CYZS01000414.159.1705	13
OTU_97.26466	EU266549.1.1452;FMUV01000065.209.1620;LARF01000079.1.1498;LARF01000076.2386.3883	110	110:4;198:1;199:1	LARF01000079.1.1498;LARF01000076.2386.3883;EU266549.1.1452;FMUV01000065.209.1620;EU728796.1.1488;DQ057453.1.1460	6
OTU_97.26507	JQ607568.1.1411;AB117561.1.1493;AB238924.1.1486;CP000140.3253636.3255132;JNHQ01000190.1.1357;ACUB01000068.1.1400;AB238927.1.1486;AB238925.1.1486;CP000140.2872534.2874028;LC033797.1.1486;AB238926.1.1486;EU136681.1.1911;LARL01000150.1.1396;JQ606916.1.1417;JNHQ01000184.8.1440;CDRH01001199.128.1633;BABA01001649.892.2396;AB238923.1.1486;KP944197.1.1431;JQ607238.1.1426;JQ607108.1.1412;EU728708.1.1478;CP000140.3411907.3413403;JQ606931.1.1418;AB238922.1.1488;JQ607084.1.1412;M86695.1.1539;CP000140.2138973.2140467;KR364782.1.1484;CZAR01000037.27480.28953;CP000140.142361.143857;BAAZ01000703.1371.2875;CP000140.416000.417494;CP000140.4787729.4789225	28	29:12;28:14	AJPU01000034.127207.128725;AJPU01000037.18517.20035;AB238928.1.1492;EU136685.1.2023;AB238929.1.1492;FTLH01000001.1658518.1660028;AGZQ01000033.8984.10498;AGZQ01000017.129.1643;AGZP01000036.3707.5225;ABYH01000014.137.1655;AB261128.1.1492;GEEG01002153.1.1395;CP000140.2138973.2140467;CP000140.2872534.2874028;CP000140.416000.417494;CP000140.142361.143857;CP000140.4787729.4789225;EU136681.1.1911;M86695.1.1539;AB238923.1.1486;ACUB01000068.1.1400;LARL01000150.1.1396;JNHQ01000190.1.1357;AB238927.1.1486;AB238925.1.1486;AB238926.1.1486	26
OTU_97.26524	GEEG01002153.1.1395;AGZQ01000017.129.1643;AGZP01000036.3707.5225;AGZQ01000033.8984.10498;ABYH01000014.137.1655;FTLH01000001.1658518.1660028;AB261128.1.1492;AJPU01000034.127207.128725;AB238929.1.1492;AB238928.1.1492;AJPU01000037.18517.20035;EU136685.1.2023	29	29:12;28:8	AJPU01000034.127207.128725;AJPU01000037.18517.20035;AB238928.1.1492;EU136685.1.2023;AB238929.1.1492;FTLH01000001.1658518.1660028;AGZQ01000033.8984.10498;AGZQ01000017.129.1643;AGZP01000036.3707.5225;ABYH01000014.137.1655;AB261128.1.1492;GEEG01002153.1.1395;CP000140.2138973.2140467;CP000140.2872534.2874028;CP000140.416000.417494;CP000140.142361.143857;CP000140.4787729.4789225;EU136681.1.1911;M86695.1.1539;AB238923.1.1486	20
OTU_97.2654	CP001107.2162771.2164291;BABD01000630.3115.4627;CP001107.763005.764525;CYYW01000006.154776.156288;FP929042.53.1573;CP001107.10914.12434;L34627.1.1468;AY169428.1.1492;CP001107.1425077.1426597;MJID01000001.1580.3121;AY804151.1.1496;AY442826.1.1528;AJ270475.1.1506;AY442817.1.1520;MJID01000039.570.2111;JX629259.1.1464;CP001107.307101.308621;FP929043.489815.491335	9	9:13	BABD01000630.3115.4627;CP001107.1425077.1426597;CP001107.10914.12434;CP001107.763005.764525;FP929042.53.1573;FP929043.489815.491335;CYYW01000006.154776.156288;AJ270475.1.1506;CP001107.307101.308621;CP001107.2162771.2164291;AY804151.1.1496;AY169428.1.1492;L34627.1.1468	13
OTU_97.26548	FJUS01000002.1025747.1027259;AZJF01000008.74711.76229;JN713312.1.1522;HZ405973.2.1426;X94967.1.1481;FCFA01000064.53.1563;FJUS01000002.1288627.1290141;LG086258.1.1481;FJUS01000004.641468.642981;AZJF01000011.59.1577;AZJF01000006.127126.128644;AZJF01000012.178214.179732;LN907762.1.1481;EU139255.1.1497;CYZG01000006.184734.186245;FJUS01000004.484423.485935;L76597.1.1423;ACTO01000052.73479.74998;HZ486351.1.1481	6	6:14	CYZG01000006.184734.186245;AZJF01000006.127126.128644;EU139255.1.1497;JN713312.1.1522;FJUS01000004.484423.485935;ACTO01000052.73479.74998;AZJF01000011.59.1577;AZJF01000008.74711.76229;AZJF01000012.178214.179732;FCFA01000064.53.1563;FJUS01000002.1288627.1290141;FJUS01000004.641468.642981;FJUS01000002.1025747.1027259;L76597.1.1423	14
OTU_97.26561	AY169411.1.1488;EF036467.1.1438;EU728791.1.1489;LG085094.1.1491;AY960563.1.1461;HZ485188.1.1468;ACII02000003.356829.358346;FQLI01000007.588420.589929;ACII02000003.441978.443495;HZ485187.1.1491;AY960566.1.1458;FLKC01000026.175.1601;LT631515.1.1452;FAVI01000008.1299692.1301201;AB691576.1.1481;LG085098.1.1481;LT714168.1.1432;FLKC01000014.123770.125280;HZ486356.2.1508;AB439724.1.1468;ACII02000003.48546.50064;HZ485191.1.1481;LT631543.1.1453;LT799002.1.1453;FQLI01000007.11395.12904;AY169424.1.1486;FAVI01000009.296310.297819;CZBA01000012.112579.114088;ACII02000001.1367.2884;X85101.1.1457;FLKC01000022.431649.433070;ACII02000002.195966.197483;FJVH01000009.22.1531;LN907760.1.1486;EU728792.1.1580;ACII02000002.340713.342230;EU728770.1.1485;AY305321.1.1452;FAVI01000008.1703276.1704567;HZ486354.1.1490;BABE01000945.62.1571;BABE01000244.3185.4694;L76601.1.1398;DQ986224.1.1438;AY169419.1.1490;FJVH01000013.367445.368954;FQLI01000007.276997.278506;LC010692.1.1492;FJ687607.1.1443;FLKC01000027.74000.75510;AB588023.1.1491;LC037229.1.1439;LG085095.1.1468;FQLI01000008.332592.334101;EU728789.1.1445;LT161889.1.1493;AF357567.1.1385;FQLI01000005.603062.604571;FQLI01000004.765.2274;BABE01000454.586.2095;AY305322.1.1451;LG086263.2.1508	7	7:54	BABE01000454.586.2095;FJVH01000009.22.1531;ACII02000001.1367.2884;LT161889.1.1493;LC037229.1.1439;HZ486356.2.1508;LG086263.2.1508;FJVH01000013.367445.368954;LC010692.1.1492;ACII02000003.48546.50064;ACII02000002.340713.342230;ACII02000002.195966.197483;ACII02000003.356829.358346;ACII02000003.441978.443495;LT714168.1.1432;LN907760.1.1486;LG085098.1.1481;HZ485191.1.1481;AB691576.1.1481;HZ486354.1.1490;AY169419.1.1490;BABE01000945.62.1571;FAVI01000008.1703276.1704567;FAVI01000008.1299692.1301201;AY960563.1.1461;BABE01000244.3185.4694;FAVI01000009.296310.297819;EU728789.1.1445;FLKC01000026.175.1601;FLKC01000027.74000.75510;FLKC01000014.123770.125280;EU728770.1.1485;AY169424.1.1486;AY960566.1.1458;CZBA01000012.112579.114088;FLKC01000022.431649.433070;EU728791.1.1489;EU728792.1.1580;AY169411.1.1488;AY305321.1.1452;FQLI01000004.765.2274;FQLI01000008.332592.334101;LT631543.1.1453;AY305322.1.1451;LT799002.1.1453;FQLI01000007.276997.278506;FQLI01000005.603062.604571;FQLI01000007.588420.589929;FQLI01000007.11395.12904;AF357567.1.1385;LG085094.1.1491;HZ485187.1.1491;AB588023.1.1491;X85101.1.1457	54
OTU_97.26563	BABD01001073.183.1673;LQ500123.51.1533;EU728783.1.1433;BAAY01001326.446.1936;BAAX01000131.813.2303;JN713314.1.1504;X85022.1.1499;AJ413954.1.1462;BAAY01002722.335.1825;BABG01000480.1321.2811;BABG01000051.2348.3838;BAAY01000303.996.2486;BAAX01000205.681.2171;HQ457025.1.1483;LQ500116.1.1474;BAAY01001463.1184.2674;LQ500131.1.1474;BAAV01000571.2640.4130;CYGL01005916.57.1552;BABG01001611.30.1520;BABA01001765.248.1738;BAAU01000686.2038.3530;LQ500117.1.1474;BAAX01000694.431.1921;BAAX01000042.422.1912;BABA01001556.422.1912	92	92:26;94:3;93:1;118:1;119:1;149:1;120:1	BAAX01000042.422.1912;BABA01001765.248.1738;BAAX01000205.681.2171;LQ500116.1.1474;BAAU01000686.2038.3530;LQ500131.1.1474;LQ500117.1.1474;BAAY01001326.446.1936;BABG01001611.30.1520;LQ500123.51.1533;BABG01000480.1321.2811;BAAY01000303.996.2486;X85022.1.1499;AJ413954.1.1462;BABD01001073.183.1673;BAAX01000131.813.2303;BAAY01002722.335.1825;BAAX01000694.431.1921;BABA01001556.422.1912;JN713314.1.1504;BABG01000051.2348.3838;CYGL01005916.57.1552;HQ457025.1.1483;BAAV01000571.2640.4130;BAAY01001463.1184.2674;EU728783.1.1433;AY169430.1.1474;CBXK010002535.1192.2697;EU728786.1.1477;DQ057482.1.1450;FAUK01000014.218606.220097;LN846908.1.1491;DQ057467.1.1475;DQ057481.1.1439	34
OTU_97.26572	BABD01001073.183.1673;LQ500123.51.1533;EU728783.1.1433;BAAY01001326.446.1936;BAAX01000131.813.2303;JN713314.1.1504;X85022.1.1499;AJ413954.1.1462;BAAY01002722.335.1825;BABG01000480.1321.2811;BABG01000051.2348.3838;BAAY01000303.996.2486;BAAX01000205.681.2171;HQ457025.1.1483;LQ500116.1.1474;BAAY01001463.1184.2674;LQ500131.1.1474;BAAV01000571.2640.4130;CYGL01005916.57.1552;BABG01001611.30.1520;BABA01001765.248.1738;BAAU01000686.2038.3530;LQ500117.1.1474;BAAX01000694.431.1921;BAAX01000042.422.1912;BABA01001556.422.1912	92	92:25;94:2	HQ457025.1.1483;BAAX01000131.813.2303;LQ500123.51.1533;AJ413954.1.1462;X85022.1.1499;BAAU01000686.2038.3530;LQ500131.1.1474;BAAX01000205.681.2171;BAAY01001326.446.1936;BAAX01000042.422.1912;BAAY01002722.335.1825;BABA01001765.248.1738;BABD01001073.183.1673;BAAV01000571.2640.4130;BABG01001611.30.1520;BAAX01000694.431.1921;LQ500116.1.1474;BABA01001556.422.1912;LQ500117.1.1474;BABG01000480.1321.2811;CYGL01005916.57.1552;BABG01000051.2348.3838;BAAY01001463.1184.2674;BAAY01000303.996.2486;JN713314.1.1504;AY169430.1.1474;EU728786.1.1477	27
OTU_97.26577	CP001107.2162771.2164291;BABD01000630.3115.4627;CP001107.763005.764525;CYYW01000006.154776.156288;FP929042.53.1573;CP001107.10914.12434;L34627.1.1468;AY169428.1.1492;CP001107.1425077.1426597;MJID01000001.1580.3121;AY804151.1.1496;AY442826.1.1528;AJ270475.1.1506;AY442817.1.1520;MJID01000039.570.2111;JX629259.1.1464;CP001107.307101.308621;FP929043.489815.491335	9	9:13	FP929042.53.1573;FP929043.489815.491335;CYYW01000006.154776.156288;AJ270475.1.1506;CP001107.307101.308621;CP001107.2162771.2164291;BABD01000630.3115.4627;CP001107.1425077.1426597;CP001107.10914.12434;CP001107.763005.764525;AY169428.1.1492;AY804151.1.1496;L34627.1.1468	13
OTU_97.26580	LV534824.10.1516;BABD01000526.1236.2742;AB253732.1.1458;BAJK01000111.3667.5173;ABFZ02000010.54.1555;BABB01000067.5995.7501;LC033792.1.1501;LN907743.1.1476;X83953.1.1342;ABFZ02000011.1.1404;AB253733.1.1458;AB547638.1.1488;LF650911.10.1516;FQWK01000014.251.1781;FNOD01000057.3565.5095;ARFR01000003.2.1263;HZ485141.10.1516;BAAU01001024.317.1823;ABFZ02000022.100210.101724;AB490801.1.1479;LF135337.10.1516;AB510708.1.1476;HZ485083.10.1516;EU136684.1.1926	18	18:13	BABD01000526.1236.2742;BABB01000067.5995.7501;BAAU01001024.317.1823;ABFZ02000022.100210.101724;HZ485141.10.1516;FNOD01000057.3565.5095;LC033792.1.1501;ABFZ02000010.54.1555;LN907743.1.1476;AB510708.1.1476;ABFZ02000011.1.1404;X83953.1.1342;EU136684.1.1926	13
OTU_97.26586	KF698192.1.1425;AY699283.1.1524;DQ497994.1.1431;L34420.1.1479;BAAZ01003957.403.1825;BABG01001469.752.2264;CP001104.413153.414672;KF698021.1.1424;CP001104.697435.698953;BABG01000033.258.1769;CP001104.872242.873760;BAAV01003125.60.1537;GU269544.1.1452;LF134149.1.1452;LF136181.1.1452;CP001104.15561.17079;CP001104.2029863.2031381	5	5:7	CP001104.15561.17079;BAAZ01003957.403.1825;CP001104.413153.414672;CP001104.872242.873760;L34420.1.1479;CP001104.697435.698953;BAAV01003125.60.1537	7
OTU_97.26592	JQ607568.1.1411;AB117561.1.1493;AB238924.1.1486;CP000140.3253636.3255132;JNHQ01000190.1.1357;ACUB01000068.1.1400;AB238927.1.1486;AB238925.1.1486;CP000140.2872534.2874028;LC033797.1.1486;AB238926.1.1486;EU136681.1.1911;LARL01000150.1.1396;JQ606916.1.1417;JNHQ01000184.8.1440;CDRH01001199.128.1633;BABA01001649.892.2396;AB238923.1.1486;KP944197.1.1431;JQ607238.1.1426;JQ607108.1.1412;EU728708.1.1478;CP000140.3411907.3413403;JQ606931.1.1418;AB238922.1.1488;JQ607084.1.1412;M86695.1.1539;CP000140.2138973.2140467;KR364782.1.1484;CZAR01000037.27480.28953;CP000140.142361.143857;BAAZ01000703.1371.2875;CP000140.416000.417494;CP000140.4787729.4789225	28	28:31;29:12;216:1;219:1;218:1;217:1;223:1;215:1;220:1;221:1;222:1;225:1;226:1;227:1;239:1	ACUB01000068.1.1400;LARL01000150.1.1396;JNHQ01000190.1.1357;AB238925.1.1486;CP000140.2138973.2140467;CP000140.2872534.2874028;CP000140.416000.417494;JNHQ01000184.8.1440;AB238927.1.1486;AB238923.1.1486;AB238926.1.1486;EU728708.1.1478;CDRH01001199.128.1633;CZAR01000037.27480.28953;BABA01001649.892.2396;AB238924.1.1486;CP000140.142361.143857;CP000140.4787729.4789225;BAAZ01000703.1371.2875;KR364782.1.1484;EU136681.1.1911;M86695.1.1539;LC033797.1.1486;AB238922.1.1488;CP000140.3411907.3413403;CP000140.3253636.3255132;JQ607238.1.1426;AB117561.1.1493;JQ606916.1.1417;AGZQ01000033.8984.10498;AGZQ01000017.129.1643;KP944197.1.1431;GEEG01002153.1.1395;JQ606931.1.1418;AJPU01000034.127207.128725;AGZP01000036.3707.5225;AJPU01000037.18517.20035;AB238928.1.1492;EU136685.1.2023;FTLH01000001.1658518.1660028;AB238929.1.1492;ABYH01000014.137.1655;AB261128.1.1492;FNVS01000030.3615.5146;LT558809.1.2930;AB574482.1.1489;AGES01000002.1517833.1519347;LT223609.1.1490;EU728718.1.1446;AB739697.1.1442;AGES01000009.1340374.1341888;AGES01000014.73256.74770;AB470344.1.1487;AB470343.1.1485;FQSE01000007.1631802.1633308;FUFV01000048.87.1597	56
OTU_97.266	NA	NA	115:4;130:1;123:1;129:1;124:1;126:1;131:1;125:1;132:1;133:1;134:1;135:1;136:1;128:1;137:1;127:1;138:1	HF545616.962351.963857;HF545616.1595630.1597136;HF545617.337862.339368;HF545616.164905.166411;JMMA01000002.1983613.1985105;FOAT01000040.3592.5104;AY445602.1.1501;AF104833.1.1459;AF030451.1.1459;AB538438.1.1472;AF104839.1.1466;CP002403.1548328.1549826;CP002403.417348.418847;CP002403.2867312.2868810;CP002403.3675459.3676957;AY445600.1.1503;AB849341.1.1449;L76598.1.1407;AB849340.1.1445;AB849339.1.1445	20
OTU_97.2662	KF698192.1.1425;AY699283.1.1524;DQ497994.1.1431;L34420.1.1479;BAAZ01003957.403.1825;BABG01001469.752.2264;CP001104.413153.414672;KF698021.1.1424;CP001104.697435.698953;BABG01000033.258.1769;CP001104.872242.873760;BAAV01003125.60.1537;GU269544.1.1452;LF134149.1.1452;LF136181.1.1452;CP001104.15561.17079;CP001104.2029863.2031381	5	5:4	LF134149.1.1452;LF136181.1.1452;GU269544.1.1452;BABG01000033.258.1769	4
OTU_97.26628	NA	NA	558:1;559:1;560:1;562:1;556:1;410:1;340:1;335:1;296:1;290:1;561:1;412:1	JN713307.1.1524;JN713308.1.1524;JN713385.1.1516;JN713189.1.1516;HQ222293.1.1555;HQ222286.1.1544;JN713204.1.1516;LT576387.1.1491;AY442821.1.1512;FJ269072.1.1480;FJ269085.1.1474;JN713190.1.1519	12
OTU_97.26632	ABCA03000019.5787.7283;LN907768.1.1454;FP929059.2595678.2597174;ABCA03000037.60092.61588;L34625.1.1453;ABCA03000043.85213.86709;ABCA03000054.109907.111403	67	264:1;144:1;67:7	HW313943.1.1475;JHXH01000008.774.2270;ABCA03000037.60092.61588;LN907768.1.1454;L34625.1.1453;ABCA03000054.109907.111403;ABCA03000019.5787.7283;ABCA03000043.85213.86709;FP929059.2595678.2597174	9
OTU_97.26634	CP001107.2162771.2164291;BABD01000630.3115.4627;CP001107.763005.764525;CYYW01000006.154776.156288;FP929042.53.1573;CP001107.10914.12434;L34627.1.1468;AY169428.1.1492;CP001107.1425077.1426597;MJID01000001.1580.3121;AY804151.1.1496;AY442826.1.1528;AJ270475.1.1506;AY442817.1.1520;MJID01000039.570.2111;JX629259.1.1464;CP001107.307101.308621;FP929043.489815.491335	9	9:13	BABD01000630.3115.4627;CP001107.1425077.1426597;CP001107.10914.12434;CP001107.763005.764525;FP929042.53.1573;FP929043.489815.491335;CYYW01000006.154776.156288;AJ270475.1.1506;CP001107.307101.308621;CP001107.2162771.2164291;AY804151.1.1496;AY169428.1.1492;L34627.1.1468	13
OTU_97.26649	CP001107.2162771.2164291;BABD01000630.3115.4627;CP001107.763005.764525;CYYW01000006.154776.156288;FP929042.53.1573;CP001107.10914.12434;L34627.1.1468;AY169428.1.1492;CP001107.1425077.1426597;MJID01000001.1580.3121;AY804151.1.1496;AY442826.1.1528;AJ270475.1.1506;AY442817.1.1520;MJID01000039.570.2111;JX629259.1.1464;CP001107.307101.308621;FP929043.489815.491335	9	9:15	FP929042.53.1573;FP929043.489815.491335;CYYW01000006.154776.156288;AJ270475.1.1506;CP001107.307101.308621;CP001107.2162771.2164291;BABD01000630.3115.4627;CP001107.1425077.1426597;CP001107.10914.12434;CP001107.763005.764525;AY169428.1.1492;AY804151.1.1496;L34627.1.1468;MJID01000039.570.2111;MJID01000001.1580.3121	15
OTU_97.26689	EU266549.1.1452;FMUV01000065.209.1620;LARF01000079.1.1498;LARF01000076.2386.3883	110	110:4;198:1;199:1;200:1	LARF01000079.1.1498;LARF01000076.2386.3883;EU266549.1.1452;FMUV01000065.209.1620;EU728796.1.1488;DQ057453.1.1460;AB239487.1.1487	7
