#partition_num	db_seqs	size_of_partition
535	LF136112.1.1493	1
536	LF134080.1.1493	1
537	HZ485783.1.1493	1
538	GU324397.1.1488	1
539	AB730783.1.1477	1
540	JX006306.1.1423	1
541	AQOB01000015.415037.416554	1
542	EU728715.1.1465	1
543	AQOB01000017.75653.77170	1
544	LV535007.1.1481	1
545	LF135520.1.1481	1
546	HZ485229.1.1481	1
547	HH793440.2.1482	1
548	EU410376.1.1482	1
549	HQ452854.1.1503	1
550	CP007034.1591211.1592751	1
551	CP007034.2537143.2538680	1
552	CP007034.2723148.2724685	1
553	CP007034.2003593.2005133	1
554	CP007034.620467.622007	1
555	AB267809.1.1461	1
556	HQ222293.1.1555	1
557	KF698061.1.1442	1
558	JN713307.1.1524	1
559	JN713308.1.1524	1
560	JN713385.1.1516	1
561	FJ269085.1.1474	1
562	JN713189.1.1516	1
563	JN713323.1.1524	1
564	AB622828.1.1520	1
565	EU728758.1.1512	1
566	ASTD01000028.25381.26899	1
567	AB702934.1.1497	1
568	FNUU01000035.148.1673	1
569	LV535618.1.1487	1
570	ASTD01000055.131053.132571	1
571	AF028349.1.1490	1
572	ASTD01000112.10867.12386	1
573	FTLN01000073.7570.8874	1
574	X71848.1.1522	1
575	HM004101.1.1497	1
576	AB910754.1.1493	1
577	CP002109.3681375.3682893	1
578	AY221993.1.1524	1
579	JNLE01000003.1161876.1163389	1
580	EU728700.1.1431	1
581	AATF01000761.367.1874	1
582	AEOA02000003.595712.597224	1
583	FOIP01000001.911867.913402	1
584	AB673451.1.1479	1
585	AB277863.1.1381	1
586	HQ827821.1.1493	1
587	KF739409.1.1493	1
588	X77839.1.1509	1
589	KT633847.1.1381	1
590	KT624608.1.1442	1
591	JNLE01000003.476404.477917	1
592	BBZN01000115.205.1716	1
593	BBDR01000038.21.1532	1
594	MJIF01000001.12658.14197	1
595	MJIF01000001.1557746.1559285	1
596	AB610558.1.1480	1
597	AB277866.1.1371	1
598	KJ722492.1.1513	1
599	AB616134.1.1495	1
600	AY587830.1.1491	1
601	ADLN01000129.202.1639	1
602	JMLH01000122.103.1607	1
603	DQ100445.1.1484	1
604	DQ057480.1.1449	1
605	JQ608292.1.1416	1
606	JQ607938.1.1410	1
607	JQ608057.1.1427	1
608	JQ608063.1.1418	1
609	JX048242.1.1418	1
610	JQ608214.1.1416	1
611	JX048273.1.1426	1
612	JX048233.1.1431	1
613	LTZJ01000001.97.1609	1
614	JX101690.1.1488	1
615	CVRO01000002.52.1555	1
616	LN998062.1.1487	1
617	AB030219.1.1485	1
618	HW313940.4.1583	1
619	ASTA01000042.17380.18894	1
620	EU815226.1.1457	1
621	LF652540.1.1489	1
622	LV536453.1.1489	1
623	LG086477.1.1489	1
624	LF136966.1.1489	1
625	HZ486570.1.1489	1
626	AB300990.1.1489	1
627	AB300991.1.1489	1
628	AB300989.1.1489	1
629	LT598586.1.1498	1
630	AB702927.1.1497	1
631	LF135724.1.1482	1
632	HZ485409.1.1482	1
633	LF133692.1.1482	1
634	X81125.1.1482	1
635	JN713225.1.1519	1
636	JN688035.1.1455	1
637	GM884217.1.1507	1
638	GM884489.1.1507	1
639	JN688038.1.1450	1
640	AB621360.1.1494	1
641	AB491210.1.1485	1
642	AB491209.1.1485	1
643	BBAH01000233.135.1677	1
644	AF000162.1.1559	1
645	HE616585.1.1507	1
646	AF000163.1.1565	1
647	FNWA01000005.212.1718	1
648	FNWA01000006.3994.5500	1
649	FR733699.1.1518	1
650	LG104459.1.1507	1
651	LV535600.1.1507	1
652	LG085691.1.1507	1
653	LF651687.1.1507	1
654	LF136113.1.1507	1
655	LF134081.1.1507	1
656	HZ485784.1.1507	1
657	AF087643.1.1516	1
658	GU324387.1.1480	1
659	JQ670721.1.1492	1
660	GU324364.1.1471	1
661	BBCG01000153.29.1534	1
662	MDJM01000087.25722.27243	1
663	KF698223.1.1415	1
664	CXYW01000005.19464.20790	1
665	CXYW01000007.804.2373	1
666	KM461945.1.1490	1
667	LT576395.1.1472	1
668	LT623894.1.1472	1
669	LT598568.1.1472	1
670	FWDJ01000002.583301.584788	1
671	LT827128.1667230.1668717	1
672	LT558845.1.1471	1
673	AP012211.976973.978469	1
674	AP012211.1087525.1089021	1
675	AB379693.1.1469	1
676	AB558167.1.1470	1
677	AF292375.1.1500	1
678	CP001726.749856.751352	1
679	CP001726.2419648.2421144	1
680	CP001726.3272238.3273734	1
681	CP011402.2215596.2217112	1
682	CP011402.472160.473676	1
683	LT725668.1.1469	1
684	GQ456228.1.1442	1
685	AF548373.1.1537	1
686	AB298756.1.1471	1
687	CP014223.1000695.1002216	1
688	CP014223.2979183.2980704	1
689	CP014223.544406.545927	1
690	HQ326737.1.1507	1
691	AB649276.1.1495	1
692	HQ326734.1.1510	1
693	HQ326726.1.1503	1
694	AY134903.1.1492	1
695	ACON01000003.712136.713636	1
696	ACON01000003.402.1902	1
697	JN713280.1.1508	1
698	LV535811.1.1480	1
699	LG104670.1.1480	1
700	LG085887.1.1480	1
701	HZ485980.1.1480	1
702	Z36296.1.1498	1
703	AJ229249.1.1418	1
704	CCYH01000050.193.1720	1
705	AB537982.1.1438	1
706	AJ295666.1.1465	1
707	KT889288.1.1442	1
708	EU815223.1.1420	1
709	FJVE01000006.32.1543	1
710	JN713566.1.1489	1
711	MJIF01000001.1605631.1607170	1
712	AB849388.1.1472	1
713	AB298755.1.1478	1
714	EF427365.1.1524	1
715	MJIF01000001.2116978.2118517	1
716	JNLE01000005.1323477.1324990	1
717	JNLE01000003.4641915.4643428	1
718	JNLE01000003.597478.598991	1
719	JNLH01000001.24823.26334	1
720	EU714406.1.1496	1
721	L34418.1.1481	1
722	GU324362.1.1490	1
723	AF202262.1.1525	1
724	AB849383.1.1479	1
725	KF697841.1.1430	1
726	JNLH01000001.2515074.2516584	1
727	JNLH01000001.1292268.1293778	1
728	AJ629069.1.1499	1
729	AYYK01000012.29.1582	1
730	LC071836.1.1470	1
731	CP003259.475944.477347	1
732	CP003259.1500298.1501701	1
733	FLSM01000009.1293944.1295446	1
734	AB443948.1.1484	1
735	ADGC01004598.946.2195	1
736	AB030220.1.1486	1
737	AEDB02000059.1043.2533	1
738	X71846.1.1508	1
739	FJ802301.1.1213	1
740	AEDB02000042.329.1819	1
741	LGTC01000001.2024672.2026172	1
742	BAAV01000882.904.2385	1
743	LG104477.1.1487	1
744	LF136131.1.1487	1
745	LF651705.1.1487	1
746	LF134099.1.1487	1
747	HM099641.1.1487	1
748	BABG01001882.1.1495	1
749	AB370249.1.1521	1
750	FMKA01000073.125.1660	1
751	LT598576.1.1472	1
752	FQLR01000004.1592155.1593643	1
753	LT623900.1.1471	1
754	AB601001.1.1469	1
755	LT223657.1.1471	1
756	FTLD01000008.225.1713	1
757	LN876650.1.1469	1
758	LK021115.1.1470	1
759	ADLS01000035.679.2174	1
760	CDJG01000010.491721.493206	1
761	AB490807.1.1491	1
762	JX424766.1.1279	1
763	LN881598.1.1472	1
764	FCOU01000006.56902.58389	1
765	CAPI01000044.3335.4816	1
766	CP002628.225677.227175	1
767	CP002628.727868.729362	1
768	LG085212.1.1502	1
769	LF651191.1.1502	1
770	LG103963.1.1502	1
771	LV535104.1.1502	1
772	LF135617.1.1502	1
773	HZ485305.1.1502	1
774	LF133585.1.1502	1
775	AB601072.1.1492	1
776	AB600547.1.1492	1
777	AB601081.1.1492	1
778	AB600548.1.1492	1
779	AB601085.1.1492	1
780	AB601087.1.1492	1
781	AB600549.1.1492	1
782	AB600542.1.1492	1
783	AF092549.1.1502	1
784	JPZV01264048.12.1421	1
785	EU170433.1.1513	1
786	AJ518869.1.1428	1
787	AY960572.1.1483	1
788	AY960570.1.1522	1
789	AY581272.1.1413	1
790	JQ608094.1.1416	1
791	AB040496.1.1450	1
792	JQ608108.1.1413	1
793	JF750939.1.1409	1
794	JX048466.1.1423	1
795	JX048159.1.1423	1
796	JQ608178.1.1413	1
797	JX048474.1.1408	1
798	JN713291.1.1508	1
799	KM462051.1.1503	1
800	JN713233.1.1503	1
801	KF698451.1.1411	1
802	AB118593.1.1442	1
803	JN713279.1.1508	1
804	AY548783.1.1256	1
805	LXSB01000001.2637960.2639490	1
806	LXSB01000001.4042890.4044420	1
807	LXSB01000001.4111553.4113083	1
808	BAVR01000144.36.1548	1
809	AB125279.1.1447	1
810	HE862234.1.1506	1
811	LGTC01000001.6495494.6496994	1
812	HC491101.1.1482	1
813	HE862233.1.1507	1
814	L09173.1.1509	1
815	KF698483.1.1411	1
816	FLSN01000013.260828.262336	1
817	CP002360.1588000.1589527	1
818	CZCA01008031.3025.4535	1
819	KT006900.1.1450	1
820	AB639141.1.1524	1
821	HQ012841.1.1516	1
822	FJ799139.1.1493	1
823	GQ377127.1.1452	1
824	KM462078.1.1516	1
825	LV536454.1.1457	1
826	LF136967.1.1457	1
827	AJ748647.1.1457	1
828	HG003572.1.1376	1
829	JN713558.1.1490	1
830	EF184292.1.1459	1
831	KR822455.1.1480	1
832	JPZV01230878.3063.4573	1
833	MJIG01000007.13282.14822	1
834	MJIG01000012.221.1761	1
835	MJIG01000003.216170.217710	1
836	MJIG01000006.46414.47954	1
837	HW066501.1.1497	1
838	AQFT01000055.1196.2717	1
839	CP015402.3112266.3113814	1
840	CP015402.2294917.2296466	1
841	KR822457.1.1472	1
842	LT725660.1.1435	1
843	DQ168656.1.1435	1
844	LFSO01000012.352.1850	1
845	AB910738.1.1491	1
846	AB643466.1.1477	1
847	AB643465.1.1491	1
848	FNGT01000049.138.1671	1
849	AB030222.1.1486	1
850	AB030223.1.1490	1
851	AB643467.1.1479	1
852	M23727.1.1477	1
853	AB030221.1.1488	1
854	LF135562.1.1485	1
855	HZ485256.1.1485	1
856	AB030224.1.1485	1
857	EU728745.1.1482	1
858	LC258136.1.1479	1
859	AB030225.1.1491	1
860	AB210825.1.1450	1
861	AB030226.1.1486	1
862	AB210824.1.1460	1
863	EU728772.1.1501	1
864	AY960565.1.1469	1
865	AY196917.1.1475	1
866	KX130893.1.1225	1
867	KX130891.1.1243	1
868	KX130890.1.1202	1
869	JQ607929.1.1445	1
870	JQ608070.1.1452	1
871	JF709901.1.1380	1
872	AFBB01000028.152.1706	1
873	AB626633.1.1528	1
874	AY278622.1.1525	1
875	MQNM01000087.90.1656	1
876	AWXA01000023.184.1702	1
877	AF473837.1.1440	1
878	CP017037.222184.223760	1
879	X82500.1.1504	1
880	AF473834.1.1411	1
881	KR364760.1.1485	1
882	X71858.1.1523	1
883	LM995447.969541.971041	1
884	LM995447.2203890.2205390	1
885	KT288267.1.1462	1
886	KP193456.1.1399	1
887	GQ377131.1.1460	1
888	HM037995.1.1446	1
889	BAAV01000728.1588.3085	1
890	LSFY01000001.7080.8583	1
891	FJ802340.1.1203	1
892	JQ346729.1.1360	1
893	AY049713.1.1456	1
894	HM597706.1.1495	1
895	GU324359.1.1472	1
896	U41168.1.1533	1
897	DQ392988.1.1473	1
898	U41170.1.1501	1
899	U41171.1.1503	1
900	DQ392994.1.1473	1
901	AB849374.1.1341	1
902	DQ393022.1.1484	1
903	DQ392991.1.1473	1
904	DQ393023.1.1484	1
905	JQ607781.1.1403	1
906	AB298734.1.1407	1
907	LSLJ01000001.1344180.1345724	1
908	LSLJ01000001.408312.409854	1
909	FR749941.1.1548	1
910	HE966431.1.1546	1
911	FR749939.1.1547	1
912	HE966429.1.1543	1
913	CP017269.3956984.3958508	1
914	GQ461730.1.1491	1
915	CP009687.1161629.1163144	1
916	CP020559.4243001.4244528	1
917	AB201750.1.1495	1
918	AQXU01000006.219.1736	1
919	EU714408.1.1496	1
920	AF202261.1.1524	1
921	AB849373.1.1293	1
922	AY699285.1.1523	1
923	X89978.1.1482	1
924	KF156791.1.1489	1
925	X89979.1.1482	1
926	U41167.1.1475	1
927	FAVK01000008.42.1545	1
928	JPIT01000001.10.1536	1
929	LT631520.1.1446	1
930	AF202258.1.1391	1
931	CDPR01001386.177.1686	1
932	FQXY01000005.366.1875	1
933	AWUX01000007.243.1760	1
934	JRAT01000012.147849.149387	1
935	GU324396.1.1489	1
936	GU324378.1.1476	1
937	AB547656.1.1451	1
938	FQXV01000034.14.1409	1
939	Z49863.1.1506	1
940	Y15986.1.1453	1
941	CP003259.1812520.1813923	1
942	CP003259.4512559.4513962	1
943	FJ799122.1.1529	1
944	KP657487.1.1491	1
945	JQ918082.1.1528	1
946	KC561096.1.1421	1
947	L28946.1.1514	1
948	CP007033.221333.222908	1
949	CP007033.342170.343746	1
950	CP007033.335348.336923	1
951	AQZF01000005.19987.21532	1
952	KC561094.1.1421	1
953	U84497.1.1525	1
954	CP007033.1161039.1162615	1
955	Y10164.1.1494	1
956	LTOV01000027.4306.5856	1
957	AJ786809.1.1493	1
958	HF558366.1.1514	1
959	ACQV01000002.9075.10620	1
960	KX096331.1.1464	1
961	KX096326.1.1463	1
962	KX096333.1.1464	1
963	KX096330.1.1463	1
964	KX096325.1.1463	1
965	L06168.1.1486	1
966	FJ225426.1.1443	1
967	CP014229.161956.163509	1
968	AJ251630.1.1502	1
969	AF056090.1.1472	1
970	Y12254.1.1509	1
971	JN713235.1.1541	1
972	FR733678.1.1539	1
973	AB603520.1.1502	1
974	APFI01000039.13688.15217	1
975	AP017368.735579.737127	1
976	LQAB01006679.1540.3071	1
977	KP715410.1.1356	1
978	JQ608096.1.1438	1
979	JQ608158.1.1437	1
980	X71855.1.1501	1
981	CP002530.2619825.2621344	1
982	CP002530.3080993.3082512	1
983	CP002530.3176529.3178048	1
984	CP002530.3614908.3616425	1
985	CP002530.3407541.3409061	1
986	LG085100.1.1482	1
987	HZ485193.1.1482	1
988	X94965.1.1482	1
989	X94964.1.1482	1
990	GU124471.1.1437	1
991	KR364741.1.1517	1
992	CP015401.3791016.3792551	1
993	CP015401.3482423.3483958	1
994	JN866826.1.1396	1
995	KF698508.1.1419	1
996	CZCB01004594.1953.3469	1
997	FR872935.1.1479	1
998	GQ231514.1.1438	1
999	JRFF01000022.152793.154320	1
1000	AUAL01000024.32266.33768	1
1001	FJ590760.1.1596	1
1002	AY538170.1.1426	1
1003	MICS01000016.2586.4138	1
1004	MICQ01000012.1854.3381	1
1005	JFJP01046995.1132.2630	1
1006	AF412968.1.1463	1
1007	X80117.1.1524	1
1008	FJ799133.1.1480	1
1009	DQ989178.1.1821	1
1010	EF186819.1.1531	1
1011	KC478607.1.1530	1
1012	AP006628.555984.557518	1
1013	AB076404.1.1527	1
1014	AF189215.1.1529	1
1015	DQ679962.1.1501	1
1016	X68373.1.1512	1
1017	AP006628.279394.280928	1
1018	JN005706.1.1529	1
1019	CP000061.271735.273265	1
1020	CP000061.496359.497889	1
1021	AY787141.1.1507	1
1022	AY197660.1.1527	1
1023	KM280566.1.1497	1
1024	DQ459438.1.1523	1
1025	EF661582.1.1528	1
1026	KF990038.1.1530	1
1027	KU850940.1.1528	1
1028	JN191343.1.1782	1
1029	AF268406.1.1825	1
1030	EU184021.1.1526	1
1031	GU361757.1.1528	1
1032	GU184186.1.1529	1
1033	AY197647.1.1527	1
1034	AY197646.1.1527	1
1035	AY725212.1.1515	1
1036	JQ740642.1.1526	1
1037	GU184174.1.1529	1
1038	AY197656.1.1527	1
1039	AY197651.1.1529	1
1040	AY180931.1.1531	1
1041	AY197657.1.1527	1
1042	FJ432664.1.1514	1
1043	FN257485.1.1529	1
1044	AF248960.1.1527	1
1045	X92869.1.1515	1
1046	AJ964959.1.1522	1
1047	FJ269065.1.1473	1
1048	GQ503874.1.1501	1
1049	HQ326743.1.1500	1
1050	LRVM01000024.42.1563	1
1051	X77841.1.1527	1
1052	Y18185.1.1499	1
1053	LT223577.1.1493	1
1054	ADGI01000045.4219.5736	1
1055	L16472.1.1513	1
1056	AZHT01000085.231.1740	1
1057	FO681347.1462889.1464391	1
1058	FO681347.296645.298147	1
1059	LG085525.9.1496	1
1060	LG104288.9.1496	1
1061	LF651516.9.1496	1
1062	HZ485618.9.1496	1
1063	L34628.1.1494	1
1064	KF698242.1.1433	1
1065	AF167711.1.1491	1
1066	LSCV01000018.184.1708	1
1067	DAAP01000007.27694.29191	1
1068	AYXY01000001.508.2027	1
1069	HQ697927.1.1516	1
1070	DQ423479.1.1478	1
1071	LDAS01000001.1715536.1717046	1
1072	FJ424814.1.1485	1
1073	JQ988061.1.1495	1
1074	CVRU01000011.3662.5169	1
1075	JPFK01000002.135165.136699	1
1076	JPFK01000007.179835.181369	1
1077	JQ937283.1.1487	1
1078	EU443205.1.1479	1
1079	KT992779.1.1490	1
1080	FTOB01000021.207.1734	1
1081	FP476056.1113308.1114833	1
1082	FP476056.3529953.3531478	1
1083	KF851345.1.1503	1
1084	KM361933.1.1469	1
1085	HM161878.1.1423	1
1086	AB557541.1.1350	1
1087	KU315480.1.1487	1
1088	HQ401023.1.1442	1
1089	KF612587.1.1449	1
1090	AY228461.1.1515	1
1091	AANC01000011.208.1734	1
1092	M62799.1.1527	1
1093	HG315671.836361.837882	1
1094	HG315671.3359058.3360470	1
1095	HG315671.2885583.2887103	1
1096	LCTZ01000002.1413109.1414636	1
1097	FQUM01000029.3718.5242	1
1098	LCTZ01000002.3631787.3633314	1
1099	FJ903191.1.1515	1
1100	Y17612.1.1606	1
1101	KX343048.1.1466	1
1102	CP011318.1120179.1121716	1
1103	FN773272.1.1485	1
1104	AJJU01000016.421.1936	1
1105	JQMD01000002.2981812.2983317	1
1106	JYGZ01000005.517874.519397	1
1107	DQ191180.1.1484	1
1108	JYGZ01000003.552411.553934	1
1109	FQXT01000014.100.1631	1
1110	FQZH01000008.653.2172	1
1111	AB682255.1.1452	1
1112	AB244984.1.1447	1
1113	FO538765.3670074.3671557	1
1114	FO538765.2426209.2427693	1
1115	EU675666.1.1454	1
1116	GBID01005713.1.1428	1
1117	FNLJ01000014.549038.550553	1
1118	FP929041.134513.136043	1
1119	HZ485585.4.1526	1
1120	AB558487.1.1504	1
1121	AB537978.1.1419	1
1122	FTLC01000013.3217.4734	1
1123	L34617.1.1490	1
1124	AB018186.1.1506	1
1125	ADGC01007667.5771.7288	1
1126	HQ452860.1.1480	1
1127	JN713552.1.1493	1
1128	ATUT01000005.67070.68591	1
1129	HQ452862.1.1498	1
1130	M23730.1.1575	1
1131	DQ448788.1.1515	1
1132	CVOD01000100.3271.4812	1
1133	GU366015.1.1554	1
1134	LSDT01000016.46.1601	1
1135	BABA01013952.1.1506	1
1136	AB531490.1.1488	1
1137	AB547636.1.1490	1
1138	BAMF01000094.252.1758	1
1139	BAME01000164.253.1760	1
1140	AB572597.1.1490	1
1141	ASSP01000017.327225.328741	1
1142	ASSP01000032.16.1532	1
1143	GQ456204.1.1468	1
1144	BAKM01000113.302.1808	1
1145	L35516.1.1464	1
1146	L35515.1.1464	1
1147	JQ608177.1.1419	1
1148	LFCW01000008.407740.409257	1
1149	KF548094.1.1538	1
1150	KY039322.1.1541	1
1151	KP284443.1.1526	1
1152	JN848792.1.1487	1
1153	EF466118.1.1484	1
1154	DQ472228.1.1474	1
1155	LAQL01000034.157.1662	1
1156	MTSY01000010.170.1645	1
1157	MTSZ01000001.31.1506	1
1158	LT717345.1.1472	1
1159	AM749667.1.1450	1
1160	MTSX01000010.169.1644	1
1161	LC184599.1.1457	1
1162	ACBZ01000217.267.1788	1
1163	CYXL01000005.210.1723	1
1164	LG085097.2.1515	1
1165	HZ485190.2.1515	1
1166	AB910751.1.1495	1
1167	AB730707.1.1504	1
1168	AY083605.1.1507	1
1169	KP828428.1.1510	1
1170	X70320.1.1463	1
1171	CP013217.62505.64040	1
1172	AY994314.1.1507	1
1173	EF032685.1.1505	1
1174	LF651254.1.1510	1
1175	HZ485364.1.1510	1
1176	CP000885.446242.447765	1
1177	CP000885.76019.77542	1
1178	CP000885.3482237.3483759	1
1179	CP000885.3497853.3499375	1
1180	CP000885.15754.17276	1
1181	CP000885.4178979.4180501	1
1182	CP000885.4184940.4186462	1
1183	CP000885.4138173.4139695	1
1184	JNLG01000001.2779552.2781062	1
1185	JNLM01000001.3240616.3242126	1
1186	JPOF01000003.1560487.1561996	1
1187	JPOF01000003.1496741.1498250	1
1188	JNLG01000001.2768369.2769878	1
1189	JNLM01000001.1732011.1733520	1
1190	FO681348.1442140.1443654	1
1191	FO681348.260494.262008	1
1192	CP011568.1666769.1668307	1
1193	LRRD01000131.139.1663	1
1194	AUZX01004800.312.1841	1
1195	AY383733.1.1483	1
1196	JN713505.1.1488	1
1197	JN713245.1.1524	1
1198	JX048307.1.1425	1
1199	FNWH01000003.25265.26801	1
1200	AWUZ01000094.18.1536	1
1201	ADCT01000150.507.2025	1
1202	AB683252.1.1492	1
1203	AY349393.1.1522	1
1204	CP012074.75223.76760	1
1205	JRNJ01000038.84884.86421	1
1206	GU811876.1.1293	1
1207	U41169.1.1510	1
1208	GU324391.1.1470	1
1209	KT343634.1.1447	1
1210	KC854942.1.1473	1
1211	AF236009.1.1490	1
1212	JQ423946.1.1429	1
1213	LC184600.1.1457	1
1214	KM588120.1.1469	1
1215	ADGC01007328.3448.5099	1
1216	JN713203.1.1524	1
1217	HQ452863.1.1343	1
1218	GM884480.1.1531	1
1219	HQ896297.1.1370	1
1220	KF697809.1.1427	1
1221	FJ269074.1.1484	1
1222	LOEZ01000043.3976.5502	1
1223	X76746.1.1511	1
1224	JQ608165.1.1420	1
1225	GFIX01008132.27.1509	1
1226	JQ608156.1.1427	1
1227	DQ352808.1.1510	1
1228	ADGC01005162.1765.3270	1
1229	ACCL02000018.824.2342	1
1230	FNBY01000022.77090.78624	1
1231	LV534993.10.1520	1
1232	LG103852.10.1520	1
1233	LG085133.10.1520	1
1234	LF135506.10.1520	1
1235	HZ485226.10.1520	1
1236	LF133474.10.1520	1
1237	LT223651.1.1494	1
1238	LT223638.1.1494	1
1239	AB360422.1.1429	1
1240	JQ607826.1.1444	1
1241	JQ608105.1.1433	1
1242	JX232355.1.1415	1
1243	AB239491.1.1489	1
1244	FNMR01000017.288724.290233	1
1245	BDCO01000002.3351233.3352762	1
1246	AB245342.1.1485	1
1247	LSTJ01000068.3968.5484	1
1248	JN713360.1.1491	1
1249	BAJF01000080.32.1542	1
1250	AB547671.1.1494	1
1251	L16477.1.1473	1
1252	L16478.1.1475	1
1253	FJ940882.1.1455	1
1254	AY840553.1.1455	1
1255	FJ940881.1.1456	1
1256	AB547681.1.1494	1
1257	LT598579.1.1467	1
1258	X79048.1.1435	1
1259	CAGZ01000034.3764.5248	1
1260	GU324380.1.1485	1
1261	KF698535.1.1399	1
1262	GBID01003509.1.1353	1
1263	AY487928.1.1533	1
1264	AY518589.1.1533	1
1265	ADLV01000001.353.1867	1
1266	GBID01003426.1.1409	1
1267	KF741120.1.1337	1
1268	CP001859.1715395.1716939	1
1269	CP001859.2076155.2077699	1
1270	CP001859.24684.26228	1
1271	CP001859.57719.59263	1
1272	CP001859.636990.638534	1
1273	CP001859.380488.382032	1
1274	X78017.1.1516	1
1275	X77951.1.1506	1
1276	X65935.1.1488	1
1277	HQ452855.1.1422	1
1278	FQSD01000032.101771.103284	1
1279	AB702929.1.1485	1
1280	JQ608026.1.1425	1
1281	AP012212.2833985.2835477	1
1282	AP012212.989377.990869	1
1283	AP012212.675085.676577	1
1284	JN688041.1.1442	1
1285	JX999366.1.1589	1
1286	KR822472.1.1504	1
1287	JNLK01000001.1816341.1817867	1
1288	JNLK01000001.243382.244908	1
1289	HZ485600.1.1508	1
1290	AB008552.1.1508	1
1291	JNLK01000001.2685853.2687379	1
1292	JN713504.1.1526	1
1293	JN713513.1.1525	1
1294	AF481224.1.1521	1
1295	KM462020.1.1559	1
1296	AF287780.1.1494	1
1297	JN713212.1.1559	1
1298	KU245707.1.1441	1
1299	KP322014.1.1488	1
1300	JX048144.1.1420	1
1301	JN713515.1.1455	1
1302	AB849377.1.1461	1
1303	HM231145.1.1450	1
1304	AY442819.1.1504	1
1305	X89980.1.1482	1
1306	EU346757.1.1482	1
1307	AB534168.1.1492	1
1308	JN713311.1.1522	1
1309	FPLC01000010.677121.678631	1
